	CM009	CM021	CM025	CM039	CM078	CM086	CM095	CM110	CM118	CM126	CM153	CM165	CM166	CM176	CM179	CM181	CM182	CM183	CM184	CM196	CM198	CM199	CM213	CM215	CM219	CM222	CM229	CM230	CM246	CM253	CM254	CM257	CM259	CM260	CM261	CM262	CM266	CM268	CM271	CM293	CM362	CM372	CM383	CM411	CM436	CM437	CM438	CM439	CM441	CM443	CM444	CM448	CM449	CM452	CM469	CM471	CM482	CM518	CM524	CM535	CM538	CM540	CM557
CM153	0.6600361663652803	0.625	0.6114790286975718	0.5588235294117647	0.4573170731707317	0.5942028985507246	0.6494252873563219	0.5822784810126582	0.5816554809843401	0.5398457583547558	0.0	0.5483870967741935	0.5676959619952494	0.5665399239543726	0.6104928457869634	0.4833759590792839	0.5343137254901961	0.5213032581453634	0.5422680412371134	0.6413612565445026	0.6170212765957447	0.6368821292775665	0.41595441595441596	0.4634920634920635	0.501432664756447	0.5	0.5577464788732395	0.5081081081081081	0.49223946784922396	0.6149732620320856	0.5640326975476839	0.5214285714285715	0.5300925925925926	0.5587628865979382	0.6073059360730594	0.6135371179039302	0.6408839779005525	0.6816901408450704	0.6140350877192983	0.6213389121338913	0.7762430939226519	0.6059907834101382	0.6087912087912087	0.47305389221556887	0.5441988950276243	0.5170603674540682	0.5297029702970297	0.5685131195335277	0.5738498789346247	0.545	0.56	0.5733695652173914	0.5802816901408451	0.5793991416309013	0.6102449888641426	0.525	0.5961995249406176	0.6089238845144357	0.5543478260869565	0.5753424657534246	0.5686274509803921	0.5801749271137027	0.6141592920353982
CM165	0.6678141135972461	0.6276803118908382	0.629399585921325	0.6558441558441559	0.5778364116094987	0.5397111913357401	0.6763157894736842	0.5612244897959183	0.5593952483801296	0.537712895377129	0.5483870967741935	0.0	0.44878048780487806	0.5533088235294118	0.598145285935085	0.5475638051044084	0.5626423690205011	0.5545243619489559	0.5658914728682171	0.6666666666666666	0.6475247524752475	0.6288848263254113	0.5528255528255528	0.5989159891598916	0.6169154228855721	0.6212471131639723	0.6576354679802956	0.5800970873786407	0.5537525354969574	0.662621359223301	0.5894206549118388	0.5530973451327433	0.5541125541125541	0.5647058823529412	0.6491596638655462	0.6559356136820925	0.6940298507462687	0.7348484848484849	0.6528735632183909	0.6404715127701375	0.81	0.5853658536585366	0.6096033402922756	0.6076923076923076	0.5964912280701754	0.5761904761904761	0.575	0.5989304812834224	0.5831435079726651	0.5796766743648961	0.569327731092437	0.5909090909090909	0.6230769230769231	0.5670103092783505	0.656441717791411	0.6666666666666666	0.5850340136054422	0.6301703163017032	0.569620253164557	0.6738609112709832	0.6900212314225053	0.690176322418136	0.578397212543554
CM166	0.6666666666666666	0.6273764258555133	0.6262626262626263	0.6547368421052632	0.6246913580246913	0.5541958041958042	0.6975	0.562624254473161	0.5578947368421052	0.5435294117647059	0.5676959619952494	0.44878048780487806	0.0	0.552158273381295	0.5942249240121581	0.5560538116591929	0.5736263736263736	0.5723830734966593	0.5671077504725898	0.6896551724137931	0.6388349514563106	0.6358792184724689	0.5616113744075829	0.6352040816326531	0.6430260047281324	0.6333333333333333	0.6845794392523364	0.6041666666666666	0.5581854043392505	0.679814385150812	0.6139088729016786	0.5671641791044776	0.5826446280991735	0.5768500948766604	0.6646464646464646	0.6705426356589147	0.7102137767220903	0.7463768115942029	0.6926406926406926	0.6398467432950191	0.8238095238095238	0.6072186836518046	0.632	0.625	0.6238095238095238	0.593607305936073	0.5917030567685589	0.6381909547738693	0.58719646799117	0.5838926174496645	0.5821501014198783	0.6187050359712231	0.6496350364963503	0.5881188118811881	0.658051689860835	0.6832579185520362	0.6163793103448276	0.6519721577726219	0.5951807228915663	0.7052154195011338	0.7145748987854251	0.7281323877068558	0.5840407470288624
CM176	0.5172955974842768	0.5278246205733558	0.5292035398230088	0.6188811188811189	0.6198830409356725	0.4019607843137255	0.6229508196721312	0.5648604269293924	0.5806451612903226	0.5923217550274223	0.5665399239543726	0.5533088235294118	0.552158273381295	0.0	0.3265940902021773	0.4682080924855491	0.49624060150375937	0.4591439688715953	0.3911504424778761	0.6	0.4703770197486535	0.48599670510708404	0.5478927203065134	0.6307385229540918	0.558648111332008	0.512621359223301	0.5833333333333334	0.5244618395303327	0.46608695652173915	0.56	0.5506958250497018	0.44716981132075473	0.44423791821561337	0.4024822695035461	0.49070631970260226	0.483695652173913	0.6036217303822937	0.6546184738955824	0.5282651072124757	0.4430379746835443	0.780718336483932	0.4715909090909091	0.5503472222222222	0.6066536203522505	0.576171875	0.5306513409961686	0.5176908752327747	0.6167664670658682	0.5131578947368421	0.5179584120982986	0.44036697247706424	0.5517928286852589	0.6074950690335306	0.45161290322580644	0.49544626593806923	0.5766990291262136	0.5177570093457944	0.5758754863813229	0.574757281553398	0.6061776061776062	0.5837837837837838	0.6490196078431373	0.4561128526645768
CM179	0.5236111111111111	0.5503649635036496	0.5720720720720721	0.6558345642540621	0.6794258373205742	0.41786743515850144	0.6887417218543046	0.5860597439544808	0.6164978292329957	0.6328725038402457	0.6104928457869634	0.598145285935085	0.5942249240121581	0.3265940902021773	0.0	0.5336538461538461	0.5488958990536278	0.5242718446601942	0.4071207430340557	0.6522435897435898	0.5205479452054794	0.4985549132947977	0.597444089456869	0.6808510638297872	0.6260162601626016	0.5824	0.6394779771615008	0.5695581014729951	0.47720364741641336	0.6206896551724138	0.6104746317512275	0.5055467511885895	0.4785373608903021	0.42923076923076925	0.5299684542586751	0.5185758513931888	0.6500829187396352	0.7027914614121511	0.5749185667752443	0.46957878315132606	0.8194444444444444	0.5238853503184714	0.5703592814371258	0.6602254428341385	0.6328502415458938	0.5830670926517572	0.5529225908372828	0.6693944353518821	0.5765625	0.5718799368088467	0.4937888198757764	0.6205211726384365	0.6720257234726688	0.5	0.5401234567901234	0.643879173290938	0.5734375	0.6235864297253635	0.6292134831460674	0.6592356687898089	0.6146788990825688	0.7056	0.46740638002773927
CM181	0.590990990990991	0.5409836065573771	0.5403050108932462	0.5928411633109619	0.5605263157894737	0.5009174311926605	0.5726256983240223	0.511482254697286	0.5229759299781181	0.511002444987775	0.4833759590792839	0.5475638051044084	0.5560538116591929	0.4682080924855491	0.5336538461538461	0.0	0.38636363636363635	0.3903061224489796	0.4017094017094017	0.5185185185185185	0.5235042735042735	0.5078740157480315	0.48091603053435117	0.5376044568245125	0.4715447154471545	0.48370927318295737	0.5213903743315508	0.4637305699481865	0.4724576271186441	0.4642857142857143	0.40896358543417366	0.4238095238095238	0.3592233009708738	0.3947939262472885	0.45734597156398105	0.48089887640449436	0.5397260273972603	0.5621468926553672	0.45714285714285713	0.5169491525423728	0.7362924281984334	0.44711538461538464	0.4853932584269663	0.5267379679144385	0.5013192612137203	0.473551637279597	0.46987951807228917	0.5014084507042254	0.45965770171149145	0.4502487562189055	0.4050925925925926	0.45776566757493187	0.4903047091412742	0.4583333333333333	0.48863636363636365	0.5591939546599496	0.5094339622641509	0.49340369393139843	0.4596774193548387	0.5615384615384615	0.5827664399092971	0.6178010471204188	0.5259391771019678
CM182	0.6095406360424028	0.539714867617108	0.5262008733624454	0.6306695464362851	0.5587467362924282	0.5295169946332737	0.5464788732394367	0.5494949494949495	0.5438972162740899	0.5311004784688995	0.5343137254901961	0.5626423690205011	0.5736263736263736	0.49624060150375937	0.5488958990536278	0.38636363636363635	0.0	0.4218362282878412	0.43125	0.5209424083769634	0.5222929936305732	0.5184466019417475	0.5135802469135803	0.5399449035812672	0.5447570332480819	0.5194174757281553	0.5692307692307692	0.5124378109452736	0.5213849287169042	0.4879356568364611	0.45135135135135135	0.4631336405529954	0.3862559241706161	0.4182590233545648	0.4744186046511628	0.48329621380846327	0.5340599455040872	0.5602240896358543	0.4758269720101781	0.5157894736842106	0.7396907216494846	0.47897196261682246	0.5303030303030303	0.5633074935400517	0.5345268542199488	0.5277108433734939	0.5011709601873536	0.5447154471544715	0.46987951807228917	0.4720194647201946	0.4404494382022472	0.45675675675675675	0.5333333333333333	0.4608695652173913	0.5011185682326622	0.589242053789731	0.5046948356807511	0.519280205655527	0.5103092783505154	0.5743073047858942	0.5906040268456376	0.6298200514138818	0.5430579964850615
CM183	0.6039426523297491	0.5560081466395111	0.5308370044052864	0.5900900900900901	0.5608465608465608	0.5064220183486239	0.5690140845070423	0.5300207039337475	0.5454545454545454	0.5639810426540285	0.5213032581453634	0.5545243619489559	0.5723830734966593	0.4591439688715953	0.5242718446601942	0.3903061224489796	0.4218362282878412	0.0	0.4081196581196581	0.5106951871657754	0.4845814977973568	0.5108481262327417	0.507537688442211	0.5337078651685393	0.4837837837837838	0.5024875621890548	0.5677083333333334	0.5175879396984925	0.5134575569358178	0.45125348189415043	0.42178770949720673	0.423444976076555	0.38221153846153844	0.408207343412527	0.48951048951048953	0.48423423423423423	0.5236768802228412	0.5706214689265536	0.480719794344473	0.5326315789473685	0.7408376963350786	0.46904761904761905	0.5285087719298246	0.5308310991957105	0.5209424083769634	0.4925	0.5094339622641509	0.5223463687150838	0.45185185185185184	0.43037974683544306	0.43735763097949887	0.46174863387978143	0.510989010989011	0.4749455337690632	0.502262443438914	0.5558375634517766	0.5130023640661938	0.4973544973544973	0.5117493472584856	0.5618556701030928	0.5863636363636363	0.618421052631579	0.5621716287215411
CM184	0.5548387096774193	0.5143884892086331	0.5318352059925093	0.6086142322097379	0.6113445378151261	0.42470389170896783	0.6080178173719376	0.5152603231597845	0.5388888888888889	0.5481927710843374	0.5422680412371134	0.5658914728682171	0.5671077504725898	0.3911504424778761	0.4071207430340557	0.4017094017094017	0.43125	0.4081196581196581	0.0	0.5598290598290598	0.4637404580152672	0.45663716814159294	0.534020618556701	0.5894039735099338	0.5324675324675324	0.4989561586638831	0.5717344753747323	0.5084388185654009	0.4333958724202627	0.5208791208791209	0.4977973568281938	0.3900414937759336	0.3438155136268344	0.341747572815534	0.4482758620689655	0.4448818897637795	0.5622222222222222	0.6186252771618626	0.49361702127659574	0.4670433145009416	0.7593360995850622	0.4708249496981891	0.5132075471698113	0.576017130620985	0.5550847457627118	0.5	0.4745417515274949	0.5802197802197803	0.465979381443299	0.4613778705636743	0.394	0.5185185185185185	0.5579868708971554	0.41359223300970877	0.48148148148148145	0.5738045738045738	0.508	0.5363247863247863	0.535181236673774	0.59375	0.5622568093385214	0.6369426751592356	0.48465266558966075
CM196	0.6590909090909091	0.6220302375809935	0.6107226107226107	0.6848341232227488	0.6088235294117647	0.6341911764705882	0.5034246575342466	0.6518987341772152	0.6494382022471911	0.638676844783715	0.6413612565445026	0.6666666666666666	0.6896551724137931	0.6	0.6522435897435898	0.5185185185185185	0.5209424083769634	0.5106951871657754	0.5598290598290598	0.0	0.49144254278728605	0.5290322580645161	0.6127320954907162	0.5682539682539682	0.5672514619883041	0.5648648648648649	0.5786350148367952	0.5583333333333333	0.6378947368421053	0.484375	0.47530864197530864	0.5481481481481482	0.5281173594132029	0.5490196078431373	0.5318066157760815	0.5493975903614458	0.4440677966101695	0.46830985915492956	0.5057471264367817	0.5609195402298851	0.7066246056782335	0.5628140703517588	0.5781990521327014	0.6052631578947368	0.5722543352601156	0.5621621621621622	0.5939849624060151	0.5642633228840125	0.4972972972972973	0.536	0.5460992907801419	0.5443786982248521	0.5727272727272728	0.5959821428571429	0.572463768115942	0.5932203389830508	0.576530612244898	0.5425219941348973	0.5451895043731778	0.5760233918128655	0.6190476190476191	0.6158536585365854	0.64376130198915
