	CM009	CM021	CM025	CM039	CM078	CM086	CM095	CM110	CM118	CM126	CM153	CM165	CM166	CM176	CM179	CM181	CM182	CM183	CM184	CM196	CM198	CM199	CM213	CM215	CM219	CM222	CM229	CM230	CM246	CM253	CM254	CM257	CM259	CM260	CM261	CM262	CM266	CM268	CM271	CM293	CM362	CM372	CM383	CM411	CM436	CM437	CM438	CM439	CM441	CM443	CM444	CM448	CM449	CM452	CM469	CM471	CM482	CM518	CM524	CM535	CM538	CM540	CM557
CM153	0.15485966685585986	0.12328648637686333	0.1484692167509754	0.08449081627188298	0.11579736681400163	0.08355734433274428	0.129094963921819	0.15994552247406776	0.1753456011217937	0.15555423018154105	0.0	0.1637603430108387	0.1654770677735697	0.14565033389588758	0.1324988510184776	0.12856838423245864	0.13332625008476237	0.12730226661995805	0.13645908788081657	0.15244822724035548	0.12062158707584977	0.10735513801345534	0.08482693553965621	0.10178480621933246	0.13265127298433602	0.13179490537911326	0.153377603805766	0.13760015161546924	0.13181983059193897	0.1268262062631491	0.10212162648564052	0.14676837954146033	0.17400953094271993	0.15445014665605925	0.12512784876026928	0.13507482779101737	0.14854335644120967	0.17025740474771262	0.1661085077906184	0.12322724873035784	0.21666550757890787	0.1390457662023805	0.13353336779648994	0.14649270299592504	0.18873311756771344	0.17932524622873436	0.15499094943023434	0.1687537624137324	0.14968540967152233	0.16245855327912148	0.1634485845262301	0.17785650603101735	0.17253570213644978	0.15494306010779849	0.16630054004195585	0.15908716251750615	0.12064854221675404	0.15808031789258128	0.14117078905148303	0.16082096839553234	0.14309521085753932	0.15325127110073064	0.08562051637043139
CM165	0.19440208477203685	0.1886117115515981	0.20173200234727812	0.21725335365432932	0.1268041832876841	0.18699300242461875	0.24850932641299256	0.1008660711514666	0.09603877433968032	0.08199861708105648	0.1637603430108387	0.0	0.03189158204854586	0.19879103204022605	0.20503580725089013	0.1748148930019728	0.19727221048116525	0.18476215873635807	0.19142363990337127	0.18243467846964584	0.17732514581300507	0.16892526695477939	0.22127805911127543	0.21172341884495322	0.2531132163607462	0.26833314634949307	0.2872960392022459	0.2750684996892935	0.1969860329844523	0.2447659741833234	0.2331623861770677	0.18441817140784453	0.1874824283028696	0.17808153678338362	0.2513196386799086	0.24110974760278736	0.24061094098772823	0.2297049480841715	0.23796219459558077	0.22368739367657978	0.2345362584513404	0.17623771073341632	0.15698586964605682	0.2010432577998936	0.21068208125309126	0.2062045424528564	0.19836336366979251	0.18931897175555115	0.18299634548478935	0.18118026713545263	0.19604877100301146	0.20811065845335483	0.20800601491390527	0.19276073537529037	0.21896467103328113	0.24908797727347304	0.19550649377318394	0.19211960220201363	0.1521346534023786	0.2585308699827983	0.2756272501369136	0.2849884501904937	0.20969710067263184
CM166	0.19957940746709407	0.18787304610898578	0.20126017864362541	0.21984122356588198	0.13201529638738396	0.18919727909393064	0.2501022027531938	0.10954975723797057	0.10753517537629995	0.09749561660272943	0.1654770677735697	0.03189158204854586	0.0	0.19913770007473441	0.20578952016789234	0.1751019972753812	0.19642675794436554	0.1843740822864997	0.1922458163717252	0.18390085154663718	0.1770044838335349	0.1698125025904711	0.22396944490752352	0.21464315757681104	0.25428386794369373	0.26873999693004746	0.2889894570332595	0.276321309101419	0.1987210529158578	0.24578551690333753	0.2344815943380064	0.1846424242135387	0.19180133900927318	0.17857904111192446	0.25326639781338306	0.2432333498774591	0.24208378979225958	0.2310385205471686	0.2403170848649396	0.22602455953118908	0.24113131218398182	0.17747195928648204	0.16436770326465955	0.20469418934320682	0.21835496688540415	0.2144880615971534	0.2026496492785345	0.19696621445087403	0.18411639369213909	0.18518086036920628	0.19934674509036815	0.2142303658918051	0.21339647381998672	0.1952607004885893	0.21929802535460907	0.2515712136912019	0.19731600420485773	0.20053887289849798	0.16219103662809095	0.2602101690485636	0.2784502480016989	0.28799983181989297	0.21218350966106453
CM176	0.09765366190913989	0.06990061231973535	0.07798372991291214	0.16260592252976572	0.11372611432124298	0.11229209134122606	0.07075310771030953	0.20947182458639543	0.214187478779959	0.19455078201226264	0.14565033389588758	0.19879103204022605	0.19913770007473441	0.0	0.029657536872278133	0.03744933441034679	0.05090441423709795	0.03240238566062394	0.038695844279650886	0.06663924099892113	0.0796289313402032	0.08017492647911667	0.11173418812471322	0.09103174520268227	0.08523367688034168	0.1080661101345868	0.10856360996579624	0.14210461588323145	0.05367903296840938	0.07596106533091279	0.07694942526405972	0.0599104550735993	0.07116699253580235	0.05121301842529699	0.08827463715095023	0.07284403070330635	0.06696293209914857	0.04593755534273084	0.06328590226595723	0.09433376518428241	0.18779084656021558	0.07807277533697259	0.15178399901429768	0.08016069359003514	0.10814771575639479	0.0990341160170039	0.08664073765204654	0.09663047995363568	0.06584565460972164	0.08247142628352783	0.08783915885963034	0.09385079520092926	0.10107683359494228	0.08256613186793506	0.10324393958638962	0.08643397512522556	0.07732340385808992	0.11212631243434969	0.1305427518560894	0.09194857318408954	0.13116379161395075	0.12579030816518544	0.1278641875685673
CM179	0.09822967483856065	0.07169527987188645	0.0815932247217875	0.14562939535954764	0.11997199189238511	0.10078497922700887	0.06456692847667092	0.21061267906249978	0.21508176897754788	0.19954413541865387	0.1324988510184776	0.20503580725089013	0.20578952016789234	0.029657536872278133	0.0	0.05365701705728089	0.06426954808777227	0.040529544545550224	0.04571284586738204	0.06907776954240269	0.06865838371949427	0.07014850229380523	0.1114092011345612	0.09139595713502872	0.08519857454756205	0.09828119572305027	0.10682109881273248	0.12718184570072574	0.06607486673267603	0.06130920969578525	0.06853631965943313	0.07441207423067626	0.08924701259317376	0.0691604791964798	0.07433757831682859	0.05903013888957957	0.0539958265675356	0.05390715325024208	0.0731916417774337	0.07743284239829683	0.18903098202314392	0.0762663673050023	0.15041286725023675	0.09676336555283103	0.11980443803612084	0.10894440524591618	0.09705588898488386	0.10718577628714189	0.07931666367133322	0.09493030798283461	0.0910795682667533	0.105941922137185	0.11217326331270042	0.08745153309386067	0.10271393795033311	0.09311688602589656	0.07498048770319518	0.10763557292588068	0.1259459726518925	0.08035349776443712	0.11396434316135381	0.11431696192530612	0.11407578150109857
CM181	0.09614998400220112	0.06312208032789166	0.08312908510594656	0.15367573163496062	0.08644662108938772	0.10220474376610185	0.09047636102716568	0.18561703058622864	0.19368449577107735	0.17066755557977797	0.12856838423245864	0.1748148930019728	0.1751019972753812	0.03744933441034679	0.05365701705728089	0.0	0.04248219891158825	0.02508530772087468	0.03753894790564307	0.06874950112890017	0.0815594721549543	0.07625322735908327	0.10107056698976728	0.08246472926071094	0.09439793994215949	0.11512261315156531	0.12664297678014774	0.14807630459943835	0.05034574417377281	0.08750977181093389	0.08145291901829346	0.05316440208291458	0.06040016949548306	0.04569700855036086	0.10333616467589427	0.08442016793950523	0.08551145581439606	0.06675259153855555	0.07326680838067041	0.10403437897983102	0.183368884514769	0.07505023909958981	0.13789842806074618	0.08012693942264937	0.10498797470929429	0.09730532856436962	0.0861390210312671	0.08826298538845812	0.06206513398560916	0.07178860504118151	0.08469532423165159	0.09353661352962879	0.09357759958275579	0.08008454326844393	0.10524709033379878	0.09744135220475461	0.07272510693851025	0.10193627918590085	0.11724607860668033	0.10398027552716331	0.14297828875147536	0.13625932979042077	0.1187751842814545
CM182	0.10974710523769823	0.07494372874631504	0.08940720027847487	0.16204731557909288	0.11463061260975944	0.12340688807619227	0.08411174842946863	0.19722698017825796	0.20684574806056938	0.19013527483852463	0.13332625008476237	0.19727221048116525	0.19642675794436554	0.05090441423709795	0.06426954808777227	0.04248219891158825	0.0	0.03927694855904838	0.048399619153494645	0.09642119845635898	0.10553356944077114	0.09828270143254478	0.0955004047306812	0.06918096150694784	0.08671132004404038	0.11771424788512148	0.11354982946866718	0.15722955723423382	0.04756380574692401	0.09569228130665383	0.09133250588587981	0.04934181826339133	0.06640349494700257	0.05698012964401039	0.10777781014093023	0.08891800526311157	0.09208208063400032	0.07532016973531447	0.07691915077485219	0.11075952814522437	0.19538191968680815	0.09272090843787112	0.15068989652550346	0.07051415789519912	0.1012041516516	0.08751250637085015	0.07940624562072571	0.09132897630430334	0.06161199911301263	0.08348903902259465	0.09619857392769432	0.08904401101599091	0.09758697486487465	0.08955472071444028	0.11247927462753951	0.08075462964007103	0.08325442832506195	0.12037270784985882	0.1381445143702017	0.10632899523007136	0.14557012685926424	0.1369698164568988	0.12770223123189312
CM183	0.09724997040506454	0.060185659915369526	0.07710512676751316	0.1512543221238902	0.0963061028768872	0.10056638291020419	0.08137049971416072	0.19254643980071612	0.19908826875455257	0.17915751460218818	0.12730226661995805	0.18476215873635807	0.1843740822864997	0.03240238566062394	0.040529544545550224	0.02508530772087468	0.03927694855904838	0.0	0.030780406628584334	0.07046110716167589	0.07616053296553892	0.07225809888656648	0.10378857022541518	0.08153533204514402	0.08714307722853937	0.10300764323791904	0.1188012285367508	0.1414359511127878	0.05433614445003885	0.07696250467802125	0.07328842129881807	0.05304521573752166	0.06882914474717679	0.04912446186466278	0.09128317349702975	0.073013020450555	0.07343843992481812	0.05596533752799738	0.0707592743918596	0.09316145112218223	0.18532681873599277	0.07210103139840225	0.1424165659096022	0.08283876114788997	0.11229099920700604	0.10109632677747359	0.08713510629715981	0.09460956642487156	0.059902909162061944	0.07765033381784708	0.08046036340889148	0.09424617043981015	0.09637300747336136	0.07419049282145095	0.10046753559033814	0.08981738814405807	0.06954683523948103	0.10492788222949755	0.12248045813352955	0.09191746378675805	0.1317948749609375	0.12618872912001294	0.11564989013364672
CM184	0.08568982489788853	0.05636261311457615	0.06625882259822119	0.15531256668733784	0.10256250352392784	0.1096842663626293	0.08347824687937953	0.19099323646922148	0.20065049027487614	0.182903001577722	0.13645908788081657	0.19142363990337127	0.1922458163717252	0.038695844279650886	0.04571284586738204	0.03753894790564307	0.048399619153494645	0.030780406628584334	0.0	0.0654364144558576	0.08742015633521442	0.08716662805076371	0.11044687863594703	0.08991326244508709	0.09067232990105376	0.10561659759824134	0.11538247597643862	0.1402534199270725	0.045062650309140556	0.07144059533918837	0.06899369731974905	0.04575563521514398	0.06516167790459124	0.04612292014362965	0.08602697090352555	0.06685511197405439	0.06992523087913975	0.05882931211519932	0.057008599779122704	0.08613889330982241	0.17866442167316157	0.054494791447735565	0.14322042832950413	0.0711921787306795	0.10340694243828423	0.08892122947108463	0.07161707914093368	0.08550381194790607	0.051331936304963216	0.07146436932235825	0.06353149701243588	0.07700358240553566	0.0832674911497973	0.05659190517105379	0.07972665955421786	0.08437453012748747	0.0606346173741618	0.09077297141891369	0.11042735851728401	0.08423451600407403	0.12393183059606065	0.11836433630803896	0.11890650741907831
CM196	0.10180449264889979	0.06958860358355941	0.08265365751210413	0.15758283414784027	0.09265762967365052	0.11711368602679076	0.10106481394582192	0.19769735392975352	0.20133022276806495	0.18258567890922597	0.15244822724035548	0.18243467846964584	0.18390085154663718	0.06663924099892113	0.06907776954240269	0.06874950112890017	0.09642119845635898	0.07046110716167589	0.0654364144558576	0.0	0.051927484814282464	0.06507237688900908	0.15277971813967295	0.1307137331674692	0.11722935118947152	0.1351127819584692	0.14647555688874245	0.1441041360071788	0.08515224327433572	0.09010299476135028	0.10554271246324781	0.08486209340019564	0.08882562827109236	0.07572219503420542	0.10157249337253467	0.0891952392642747	0.07949833961939529	0.06962972787292443	0.07749357064894635	0.09035775585215983	0.16426318792445305	0.05506198853664224	0.1459686610020106	0.10464953964149608	0.12230609264278405	0.11220526774991191	0.0976557690369279	0.10697074855786196	0.08824203975812456	0.09620052752000573	0.08973130932515165	0.10884194110860294	0.11661335632534242	0.09565305629204761	0.08825999174350595	0.11113587299409003	0.07055501256189116	0.08968595276948754	0.10180516640315575	0.103102644615386	0.13241370679163128	0.14241758298779936	0.13240161899245023
CM198	0.13102839273532502	0.08488914321340314	0.10801785486569888	0.1305679196640479	0.10580463621586361	0.08875222049081911	0.10248521910007302	0.1974738170307421	0.20200157369365174	0.18332229203875555	0.12062158707584977	0.17732514581300507	0.1770044838335349	0.0796289313402032	0.06865838371949427	0.0815594721549543	0.10553356944077114	0.07616053296553892	0.08742015633521442	0.051927484814282464	0.0	0.02988815368681043	0.1330456253375337	0.11328543020596478	0.11140910564311242	0.12718101965077447	0.14456194437586511	0.1360844625504004	0.10221797424266116	0.09081312710007994	0.09335689174597432	0.10930112123510559	0.11206367392098744	0.09823232351983027	0.0975594940847711	0.08575142033744855	0.07766385796769103	0.0897104279553011	0.10745622347377207	0.07742823272600098	0.17468493424807693	0.08924177579314464	0.13867157196333305	0.1286372790429376	0.14978491623847565	0.1424215321818255	0.13153629261655406	0.1375481648551422	0.11005349088619565	0.1212250578738286	0.11667222817154894	0.13718724022499587	0.1410531899584003	0.11793988045104088	0.12069804807372421	0.12414570151522758	0.08722093454334331	0.12187802354524607	0.10945933651233697	0.11409416660585568	0.131105267081259	0.1400798080149654	0.10300110268565624
CM199	0.12905810668291595	0.08292404571840627	0.10899648695010408	0.11819592018015321	0.10209074733471031	0.08201604502121053	0.10597100601377593	0.1773634047509052	0.183886411710345	0.16466296636576047	0.10735513801345534	0.16892526695477939	0.1698125025904711	0.08017492647911667	0.07014850229380523	0.07625322735908327	0.09828270143254478	0.07225809888656648	0.08716662805076371	0.06507237688900908	0.02988815368681043	0.0	0.12510574512949618	0.1076075512957319	0.11776033027845957	0.1319788283401578	0.15106083548600996	0.1393451916328903	0.10415177451577386	0.09668385608627385	0.09558988186241925	0.10831367473514734	0.11842172625026212	0.09898656331371666	0.10421219431588345	0.09232616424907789	0.08563799692719398	0.09734277690337512	0.11556732966706632	0.08062038156212507	0.17439811245152048	0.09114925398219129	0.12203984595970356	0.12806457902072008	0.15410378061146052	0.14590044401909638	0.1341114744182099	0.14128530502642372	0.10983971947375162	0.12420832972986665	0.12123082425770565	0.1412791638559999	0.14454212281246137	0.12057679090774136	0.12356168702282486	0.1277788640834239	0.08902169932548666	0.1248034285444552	0.10526948433343987	0.11981085643367591	0.13346871427462792	0.14361388317477	0.09331038469904797
CM213	0.13308649810652118	0.11887745580648866	0.13137238880628696	0.11311682140989443	0.13147541742183622	0.09579163549584178	0.09421858576684933	0.20495482141407978	0.2197186970427225	0.19851754732978172	0.08482693553965621	0.22127805911127543	0.22396944490752352	0.11173418812471322	0.1114092011345612	0.10107056698976728	0.0955004047306812	0.10378857022541518	0.11044687863594703	0.15277971813967295	0.1330456253375337	0.12510574512949618	0.0	0.04531806140262412	0.07733387188491148	0.09878857940023453	0.0989660661480522	0.12797593430403986	0.08653685218074209	0.10516006121791903	0.06893399661718472	0.10556401576675378	0.1291647145776531	0.10771826423333782	0.10156242304238214	0.11224988948729717	0.12756156197221818	0.13888855661739286	0.13057271798164768	0.12851481615914467	0.22055291257412696	0.1393490976312059	0.17463864123003145	0.08715103706586258	0.13024996445870865	0.1250606309920001	0.10543101907774032	0.11646971299643094	0.11191957330644617	0.12121608017326282	0.13866740896162547	0.12520802062366124	0.12087790966207546	0.12997622747662302	0.1530716885651515	0.11262009759674951	0.12317324545239036	0.13803569829765616	0.15472022252426726	0.13449168235141246	0.12625140587320108	0.12262837216005217	0.08979151707631267
