	CM009	CM021	CM025	CM039	CM078	CM086	CM095	CM110	CM118	CM126	CM153	CM165	CM166	CM176	CM179	CM181	CM182	CM183	CM184	CM196	CM198	CM199	CM213	CM215	CM219	CM222	CM229	CM230	CM246	CM253	CM254	CM257	CM259	CM260	CM261	CM262	CM266	CM268	CM271	CM293	CM362	CM372	CM383	CM411	CM436	CM437	CM438	CM439	CM441	CM443	CM444	CM448	CM449	CM452	CM469	CM471	CM482	CM518	CM524	CM535	CM538	CM540	CM557
CM153	0.44473492620292543	0.3852339665100271	0.4191872393937388	0.3259646568270567	0.26878019723343705	0.29528757694089613	0.4235885895823681	0.3659408299688927	0.3885432523661394	0.34310675756171816	0.0	0.3792110662519028	0.3879475809120392	0.39162088821232377	0.3862267522668608	0.3328479714077702	0.33890396452445565	0.3372824144549606	0.3392018002515057	0.4344430471904163	0.3836124164405321	0.35998411542789066	0.22751340260771724	0.2502481964392084	0.34383480045006287	0.3238467138791449	0.3767621947183798	0.3191806208220266	0.3059765702561387	0.39833873850023166	0.3293732212588523	0.3451916076510689	0.39115758819246804	0.3756370375273016	0.39956317426699317	0.4037328744456946	0.4533059765702561	0.48907935667482955	0.453008140843206	0.39026408101131776	0.6946521940565226	0.37891323052485276	0.39493017406843606	0.3372824144549606	0.4219670395128731	0.4057846316764842	0.3737176517307565	0.39297769541332983	0.37391620888212324	0.38348004500628763	0.40227678866900524	0.4208749751803561	0.4050565887881395	0.380336223442981	0.4313323184856708	0.39066119531405125	0.3647163942021312	0.4082335032100073	0.3536964723012774	0.42683168972135815	0.4234231252895625	0.42981004699185915	0.31338937057383015
CM165	0.5442451518962208	0.511615593354954	0.536203587265868	0.5781653319213713	0.3815606592097425	0.410318353299358	0.5826328678271229	0.30809451320405057	0.3067707988616057	0.29148189820636705	0.3792110662519028	0.0	0.12783771262161625	0.47610695611886955	0.4904030710172745	0.43172943278840425	0.4505923621682441	0.440035740287246	0.4578396981931299	0.5286584155139321	0.4862995565556953	0.4649546627837713	0.48308954927526637	0.4837183135879277	0.5368985372956516	0.545370309087299	0.5935866040108545	0.5452379376530545	0.4623403269574426	0.5808458534648223	0.5335230657224171	0.4645244556224767	0.45304123370176713	0.45654907670924616	0.5744258389039645	0.5725726388245417	0.5997749685617844	0.6089416903832153	0.5995433185518565	0.5534118737176518	0.7361506386921702	0.4696207558408895	0.4695545701237673	0.5146932292011384	0.5106559004566814	0.5044344430471904	0.5030114501290621	0.47700046330001983	0.4763386061287974	0.4557548481037792	0.5002316500099279	0.5208485008935072	0.5169435435832948	0.4887815209477795	0.5817724535045338	0.6141372691773115	0.498378449930505	0.5251505725064531	0.4564497981335628	0.6406446488847707	0.6693361572572639	0.6797604077040175	0.48269243497253295
CM166	0.5552650737970746	0.5055926930968297	0.526739029717387	0.5827321464028062	0.3960553312595142	0.4160765106889933	0.5894830895492753	0.317393606459726	0.3153749420874975	0.30865709179958967	0.3879475809120392	0.12783771262161625	0.0	0.4698854987093785	0.48669667085842877	0.43215963994969886	0.44681977629227615	0.44228605466940235	0.46048712687801974	0.5287907869481766	0.4823615063869217	0.46323383413859287	0.48447944933483356	0.49238864253094183	0.5445429876232709	0.5468925805811106	0.6005691971672513	0.5525183665365014	0.4690250843867893	0.5865378251373353	0.5433185518565093	0.46488847706664904	0.461645376927659	0.46005691971672513	0.580746574889139	0.5787940962340327	0.6000397114302733	0.6114567476338606	0.6095373618373155	0.5556290952412469	0.7401879674366272	0.4723674631014627	0.48378449930504996	0.526209543980409	0.5189622079555232	0.5171090078761004	0.5070487788735191	0.49023760672446887	0.4733933417168575	0.4598583625653584	0.5008604143225892	0.5247865510622808	0.5210801509034351	0.49242173538950296	0.5870673108743133	0.6236018267257926	0.5060890859752465	0.5369647230127739	0.4667085842875108	0.6507710636044741	0.6788999933814283	0.6883645509299093	0.4860017208286452
CM176	0.3048845059236217	0.25451717519359324	0.2562380038387716	0.4680653914885168	0.3493282149712092	0.24458931762525646	0.24015487457806606	0.4714739559203124	0.4892779138261963	0.47038189158779536	0.39162088821232377	0.47610695611886955	0.4698854987093785	0.0	0.10176054007545171	0.17062677874114765	0.19167383678602157	0.16258521411079488	0.17181812164934807	0.24895757495532464	0.2443245747567675	0.23955920312396584	0.2930372625587398	0.2783109404990403	0.22824144549606196	0.24108147461777749	0.2697729829902707	0.2928387054073731	0.22010060229002582	0.2387649745184989	0.21642729498974123	0.19415580117810577	0.19547951552055068	0.1706929644582699	0.23449599576411412	0.2303593884439738	0.24687272486597392	0.24396055331259514	0.25190283936726454	0.26120193262293995	0.6399496988549871	0.2355218743795089	0.4245482824806407	0.2802303262955854	0.28410219074723675	0.28440002647428686	0.2792044476801906	0.29366602687140114	0.2231782381362102	0.24379508901978952	0.24386127473691177	0.26629823284135284	0.29929181282679196	0.25104242504467533	0.30015222714938117	0.31570587067310873	0.25014891786352506	0.3011119200476537	0.3514130650605599	0.31971010655900456	0.3967502812892978	0.3985372956515984	0.2892315838242107
CM179	0.3115692633529684	0.2547819180620822	0.27192401879674366	0.4539678337414786	0.35601297240055596	0.23436362432986962	0.23297372427030247	0.4735918988682242	0.49281884969223644	0.4753458203719637	0.3862267522668608	0.4904030710172745	0.48669667085842877	0.10176054007545171	0.0	0.19117744390760474	0.21444172347607388	0.176384936130783	0.1768813290091998	0.2502481964392084	0.23998941028526044	0.2369779601561983	0.30660533456880007	0.3006155271692369	0.24012178171950493	0.23883116023562115	0.2671255543053809	0.2706333973128599	0.23631610298497585	0.2255278310940499	0.214474816334635	0.2130187305579456	0.21957111655304784	0.1891918723939374	0.2155337878085909	0.2141769806075849	0.23029320272685155	0.2537229465881263	0.25190283936726454	0.23545568866238667	0.6341584486067906	0.22754649546627836	0.41227083195446423	0.303891720166788	0.30571182738764974	0.2962472698391687	0.292011383943345	0.3074657488913892	0.2437619961612284	0.26206234694552916	0.25412006089085976	0.2823813621020584	0.31491164206764183	0.27096432589847114	0.2892315838242107	0.3212323780528162	0.239062810245549	0.28890065523859954	0.3311271427625918	0.3082599774968562	0.3734529088622675	0.39433450261433584	0.27559732609702825
CM181	0.29618108412204647	0.24587993910914024	0.2636177112979019	0.43702429015818384	0.26520616850883577	0.23270898140181348	0.2561056324045271	0.4125355748229532	0.43666026871401153	0.4034019458600834	0.3328479714077702	0.43172943278840425	0.43215963994969886	0.17062677874114765	0.19117744390760474	0.0	0.13323184856707923	0.0986498113707062	0.13412535574822954	0.24399364617115626	0.252829439406976	0.23916208882123238	0.2669600900125753	0.24141240320338872	0.21282017340657886	0.22063008802700376	0.26927659011185384	0.28056125488119665	0.19114435104904362	0.21559997352571314	0.1836322721556688	0.14094248461182077	0.1427625918326825	0.12370110530147595	0.2327420742603746	0.2136144020120458	0.2643126613276855	0.25835594678668344	0.23237805281620227	0.28016414057846317	0.640743927460454	0.22483288106426633	0.3866569594281554	0.2469720034416573	0.2477331391885631	0.2438943675954729	0.23823548878152095	0.2365808458534648	0.17310874313323185	0.1753590575153882	0.20841882321794958	0.2113971804884506	0.22810907406181746	0.2083195446422662	0.28658415513932095	0.3067707988616057	0.2371434244490039	0.24779932490568535	0.28519425507975377	0.3054801773777219	0.38526705936858824	0.37937653054470843	0.2771857833079621
CM182	0.33764643589913296	0.27030246872724867	0.2712621616255212	0.44701833344364283	0.31434906347210273	0.27103051161559333	0.2514395393474088	0.4307035541730095	0.4520815408034946	0.41746641074856045	0.33890396452445565	0.4505923621682441	0.44681977629227615	0.19167383678602157	0.21444172347607388	0.13323184856707923	0.0	0.12985637699384472	0.1449467204977166	0.2985306770798862	0.2978688199086637	0.2808921834668079	0.2622609040968959	0.2424051889602224	0.23648156727778147	0.24985108213647494	0.2655040042358859	0.31067575617181814	0.22718247402210603	0.2596134754120061	0.22503143821563307	0.14835528492951222	0.16271758554503937	0.1592097425375604	0.26206234694552916	0.24822953206697995	0.28780859090608246	0.2761268118340062	0.2465748891389238	0.30531471308491626	0.644781256204911	0.25822357535243895	0.41875703223244426	0.24961943212654708	0.2617314183599179	0.2472698391687074	0.2305579455953405	0.25233304652855915	0.16255212125223376	0.1953802369448673	0.23277516711893573	0.2178833807664306	0.23810311734727646	0.2186114236547753	0.31355483486663577	0.2917135482162949	0.2552452180819379	0.2994903699781587	0.3393672645443113	0.3297372427030247	0.4001919385796545	0.3896353166986564	0.292805612548812
CM183	0.31765834932821496	0.236084452975048	0.24382818187835065	0.43493944006883317	0.2822489906678139	0.2310874313323185	0.25954728969488383	0.42200013237143424	0.44351049043616386	0.41051691045072475	0.3372824144549606	0.440035740287246	0.44228605466940235	0.16258521411079488	0.176384936130783	0.0986498113707062	0.12985637699384472	0.0	0.10827983321199285	0.24366271758554503	0.23975776027533258	0.2290356741015289	0.2681514329207757	0.24561519624065126	0.2152359520815408	0.21540141637434643	0.2792044476801906	0.2870474551591766	0.20474551591766496	0.21235687338672316	0.18723939373883117	0.1417367132172877	0.1534515851479251	0.12823482692434973	0.22089483089549275	0.2018664372228473	0.2503805678734529	0.2495201535508637	0.23290753855318022	0.273644847441922	0.6375670130385863	0.2171553378780859	0.3930107882718909	0.2580250182010722	0.2714276259183268	0.25329273942683167	0.24647561056324047	0.24856046065259116	0.16490171421007346	0.18287113640876299	0.19074723674631014	0.21887616652326428	0.23899662452842677	0.19164074392746044	0.2774505261764511	0.3037593487325435	0.22602422397246674	0.26146667549142893	0.3099477132834734	0.2954861340922629	0.3756370375273016	0.37805281620226355	0.2703355615858098
CM184	0.3051161559335495	0.23598517439936462	0.25071149645906415	0.4344099543318552	0.3051161559335495	0.23661393871202593	0.27053411873717653	0.4271295254484082	0.45777351247600767	0.415183003507843	0.3392018002515057	0.4578396981931299	0.46048712687801974	0.17181812164934807	0.1768813290091998	0.13412535574822954	0.1449467204977166	0.10827983321199285	0.0	0.25782646104970547	0.257164603878483	0.2449202462108677	0.26530544708451914	0.2512740750546032	0.2363822887020981	0.2195049308359256	0.2660996756899861	0.2793699119729962	0.19269971540141637	0.21093388046859488	0.18088556489509564	0.1317426699318287	0.16198954265669468	0.1344893771924019	0.20501025878615395	0.19217022966443842	0.24247137467734464	0.2571976967370441	0.21973658084585346	0.25263088225560926	0.6347541200608908	0.20282613012111986	0.3844397379045602	0.24971871070223045	0.2713945330597657	0.24640942484611822	0.22585875967966113	0.2548811966377656	0.16513336422000133	0.19491693692501158	0.16665563571381295	0.20424912303924814	0.22635515255807798	0.17277781454762062	0.25137335363028657	0.28986034813687206	0.22744721689059502	0.24885829637964127	0.2980011913429082	0.2878416837646436	0.35243894367595474	0.36038122973062414	0.26517307565027465
CM196	0.3712687801972334	0.29492355549672383	0.31163544907009066	0.47964789198490965	0.34737573631610297	0.3112383347673572	0.269044940101926	0.49477132834734266	0.5010258786153948	0.4893110066847574	0.4344430471904163	0.5286584155139321	0.5287907869481766	0.24895757495532464	0.2502481964392084	0.24399364617115626	0.2985306770798862	0.24366271758554503	0.25782646104970547	0.0	0.1557018995300814	0.17959494341121185	0.39787543848037593	0.37120259448011117	0.29187901250910053	0.30134357005758156	0.33807664306042756	0.3270236283010126	0.321993513799722	0.23651466013634256	0.2607717254616454	0.2800317691442187	0.27053411873717653	0.24995036071215831	0.25534449665762127	0.254186246607982	0.20299159441392547	0.2227480309749156	0.24925541068237475	0.27453835462307236	0.6367065987159971	0.2591170825335892	0.40912701039115756	0.35392812231120524	0.3459527433979747	0.3434707790058905	0.34863326494142566	0.34793831491164207	0.2887351909457939	0.3052154345092329	0.27913826196306835	0.31818783506519294	0.33966510027136143	0.31914752796346546	0.3139188563108081	0.3612416440532133	0.2744721689059501	0.2999536699980144	0.31289297769541335	0.32861208551194654	0.4148189820636707	0.43093520418293735	0.34095572175524524
