	CM009	CM021	CM025	CM039	CM086	CM110	CM118	CM176	CM179	CM181	CM182	CM183	CM184	CM198	CM199	CM213	CM219	CM222	CM229	CM230	CM246	CM253	CM257	CM259	CM260	CM261	CM262	CM271	CM293	CM362	CM372	CM383	CM436	CM437	CM438	CM439	CM441	CM443	CM444	CM452	CM469	CM471	CM535	CM538	CM540	CM557
CM182	0.6119929453262787	0.5425101214574899	0.5282608695652173	0.632258064516129	0.5368421052631579	0.5504032258064516	0.5448717948717948	0.510989010989011	0.55	0.3879093198992443	0.0	0.42326732673267325	0.4336099585062241	0.5221987315010571	0.5174418604651163	0.5147783251231527	0.5459183673469388	0.5169082125603864	0.5714285714285714	0.5148514851485149	0.5212121212121212	0.4893048128342246	0.46436781609195404	0.3847980997624703	0.4194915254237288	0.4719626168224299	0.48444444444444446	0.47715736040609136	0.5228215767634855	0.7403598971722365	0.4801864801864802	0.531317494600432	0.5357142857142857	0.5299760191846523	0.5	0.5459459459459459	0.47368421052631576	0.4733009708737864	0.44170403587443946	0.4608695652173913	0.49776785714285715	0.5912408759124088	0.5764411027568922	0.5920177383592018	0.6307692307692307	0.5517241379310345
CM183	0.6032315978456014	0.5548780487804879	0.5318681318681319	0.5910112359550562	0.5161870503597122	0.5300207039337475	0.5454545454545454	0.4685714285714286	0.5272435897435898	0.3903061224489796	0.42326732673267325	0.0	0.4093816631130064	0.4868421052631579	0.5118110236220472	0.507537688442211	0.4837837837837838	0.4987593052109181	0.5688311688311688	0.518796992481203	0.5123456790123457	0.45125348189415043	0.423444976076555	0.38313253012048193	0.41163793103448276	0.4894613583138173	0.48423423423423423	0.480719794344473	0.5354166666666667	0.7408376963350786	0.46904761904761905	0.5285087719298246	0.5209424083769634	0.4937655860349127	0.5105882352941177	0.5223463687150838	0.45454545454545453	0.43037974683544306	0.43735763097949887	0.4737991266375546	0.5011286681715575	0.5569620253164557	0.5629820051413882	0.583710407239819	0.618421052631579	0.5697074010327022
CM184	0.5594855305466238	0.5222816399286988	0.5363128491620112	0.6152416356877324	0.43094841930116473	0.5161290322580645	0.5424354243542435	0.40484429065743943	0.40950920245398775	0.40638297872340423	0.4336099585062241	0.4093816631130064	0.0	0.46387832699619774	0.4612676056338028	0.5409836065573771	0.5334773218142549	0.5	0.5735607675906184	0.5136268343815513	0.4397031539888683	0.5219298245614035	0.391304347826087	0.34591194968553457	0.35260115606936415	0.4491869918699187	0.44901960784313727	0.49469214437367304	0.4739776951672863	0.7598343685300207	0.4688128772635815	0.5169172932330827	0.5590717299578059	0.505175983436853	0.4766734279918864	0.5842450765864332	0.46611909650924027	0.4625	0.398406374501992	0.4166666666666667	0.4785992217898833	0.5726141078838174	0.5954356846473029	0.5609284332688588	0.6377118644067796	0.4888535031847134
CM198	0.6	0.5945454545454546	0.5907335907335908	0.6437007874015748	0.5387149917627677	0.5834862385321101	0.6150943396226415	0.486013986013986	0.524812030075188	0.5223880597014925	0.5221987315010571	0.4868421052631579	0.46387832699619774	0.0	0.4085603112840467	0.5982905982905983	0.5873015873015873	0.5562770562770563	0.6099773242630385	0.5521064301552107	0.5622710622710623	0.5250596658711217	0.49478079331941544	0.488659793814433	0.48674242424242425	0.4957446808510638	0.5121457489878543	0.5424107142857143	0.5456273764258555	0.7659090909090909	0.5403726708074534	0.571150097465887	0.5878378378378378	0.5769230769230769	0.5816326530612245	0.62877030162413	0.5329087048832272	0.5458422174840085	0.504	0.5421455938697318	0.5303643724696356	0.610989010989011	0.6076233183856502	0.6101010101010101	0.6380510440835266	0.5937007874015748
CM199	0.5909797822706065	0.5946398659966499	0.5911504424778761	0.6469534050179212	0.5338461538461539	0.5939597315436241	0.6254295532646048	0.4919093851132686	0.49784791965566716	0.5059055118110236	0.5174418604651163	0.5118110236220472	0.4612676056338028	0.4085603112840467	0.0	0.6061776061776062	0.5938775510204082	0.571150097465887	0.6171079429735234	0.5762376237623762	0.5576271186440678	0.5630252100840336	0.5038022813688213	0.4751908396946565	0.4525939177101968	0.5105973025048169	0.5083798882681564	0.564870259481038	0.5472027972027972	0.7868525896414342	0.5397727272727273	0.5706618962432916	0.6195219123505976	0.5923076923076923	0.5749063670411985	0.6425619834710744	0.5525812619502868	0.558766859344894	0.5118829981718465	0.5336879432624113	0.5547445255474452	0.6259842519685039	0.6341948310139165	0.6165137614678899	0.670061099796334	0.5686567164179105
CM213	0.6323529411764706	0.6239837398373984	0.6096491228070176	0.5571776155717761	0.5747747747747748	0.5708245243128964	0.579064587973274	0.5580524344569289	0.6041009463722398	0.4770408163265306	0.5147783251231527	0.507537688442211	0.5409836065573771	0.5982905982905983	0.6061776061776062	0.0	0.48563218390804597	0.45675675675675675	0.5354107648725213	0.49865229110512127	0.451685393258427	0.5737704918032787	0.49033816425120774	0.5116822429906542	0.5042553191489362	0.5823665893271461	0.5608108108108109	0.5790816326530612	0.6091476091476091	0.7753424657534247	0.5771028037383178	0.5588235294117647	0.48717948717948717	0.515625	0.491183879093199	0.5179640718562875	0.5416666666666666	0.49743589743589745	0.5011494252873563	0.5352422907488987	0.555045871559633	0.4943820224719101	0.5576923076923077	0.5560975609756098	0.5601173020527859	0.5843694493783304
CM219	0.6353166986564299	0.6	0.5791962174940898	0.5641025641025641	0.6014760147601476	0.6082251082251082	0.6091954022988506	0.5717054263565892	0.6302250803858521	0.4715447154471545	0.5459183673469388	0.4837837837837838	0.5334773218142549	0.5873015873015873	0.5938775510204082	0.48563218390804597	0.0	0.3795180722891566	0.44871794871794873	0.4072948328267477	0.5158371040723982	0.4670846394984326	0.5088161209068011	0.5196078431372549	0.5403050108932462	0.5292620865139949	0.5147058823529411	0.4942528735632184	0.5610859728506787	0.7300613496932515	0.5671641791044776	0.5788235294117647	0.5222551928783383	0.5165745856353591	0.537467700258398	0.5192307692307693	0.5402597402597402	0.5673575129533679	0.5435294117647059	0.5537757437070938	0.5222772277227723	0.44272445820433437	0.4380952380952381	0.5211640211640212	0.49836065573770494	0.6332737030411449
CM222	0.6070110701107011	0.5814432989690722	0.579295154185022	0.5375302663438256	0.5523465703971119	0.6008146639511202	0.6072961373390557	0.5236294896030246	0.5822784810126582	0.47619047619047616	0.5169082125603864	0.4987593052109181	0.5	0.5562770562770563	0.571150097465887	0.45675675675675675	0.3795180722891566	0.0	0.40963855421686746	0.3909348441926346	0.47161572052401746	0.4595375722543353	0.463768115942029	0.4965197215777262	0.5031446540880503	0.4975845410628019	0.48130841121495327	0.48128342245989303	0.4988962472406181	0.7348066298342542	0.5514018691588785	0.5339366515837104	0.4860335195530726	0.4830287206266319	0.46733668341708545	0.5333333333333333	0.5110565110565111	0.5186104218362283	0.482837528604119	0.5077262693156733	0.47743467933491684	0.4591549295774648	0.4463768115942029	0.48872180451127817	0.5059523809523809	0.5874125874125874
CM229	0.6414728682170543	0.6157205240174672	0.6223776223776224	0.5714285714285714	0.6325411334552102	0.6645569620253164	0.6538461538461539	0.5938104448742747	0.6397415185783522	0.5226666666666666	0.5714285714285714	0.5688311688311688	0.5735607675906184	0.6099773242630385	0.6171079429735234	0.5354107648725213	0.44871794871794873	0.40963855421686746	0.0	0.39375	0.5080831408775982	0.43973941368078173	0.5486284289276808	0.5721153846153846	0.5745140388768899	0.5130890052356021	0.5320197044334976	0.47477744807121663	0.5475638051044084	0.7133757961783439	0.5670886075949367	0.5721153846153846	0.5519287833827893	0.532033426183844	0.5093833780160858	0.5650793650793651	0.5699481865284974	0.5822454308093995	0.5737704918032787	0.5635103926096998	0.5251256281407035	0.444794952681388	0.46006389776357826	0.48342541436464087	0.5016722408026756	0.6365280289330922
CM230	0.6175373134328358	0.5840336134453782	0.5788288288288288	0.5574572127139364	0.572463768115942	0.6066252587991718	0.5888888888888889	0.539047619047619	0.5774193548387097	0.46511627906976744	0.5148514851485149	0.518796992481203	0.5136268343815513	0.5521064301552107	0.5762376237623762	0.49865229110512127	0.4072948328267477	0.3909348441926346	0.39375	0.0	0.4584269662921348	0.4690265486725664	0.5083932853717026	0.49406175771971494	0.5138004246284501	0.5098039215686274	0.5	0.4904632152588556	0.52	0.7277936962750716	0.5571428571428572	0.535796766743649	0.5292479108635098	0.4920212765957447	0.5025125628140703	0.5313432835820896	0.5310173697270472	0.5497512437810945	0.5316742081447964	0.5190156599552572	0.528169014084507	0.5070028011204482	0.48695652173913045	0.5201005025125628	0.5121951219512195	0.5921985815602837
