	CM009	CM021	CM025	CM039	CM086	CM110	CM118	CM176	CM179	CM181	CM182	CM183	CM184	CM198	CM199	CM213	CM219	CM222	CM229	CM230	CM246	CM253	CM257	CM259	CM260	CM261	CM262	CM271	CM293	CM362	CM372	CM383	CM436	CM437	CM438	CM439	CM441	CM443	CM444	CM452	CM469	CM471	CM535	CM538	CM540	CM557
CM182	0.10399501304175526	0.07354118950170985	0.08687155181090728	0.16378916614110076	0.12299953642033983	0.1942699857764799	0.2037209184607484	0.05415151579609571	0.06806438745931662	0.0372588028215904	0.0	0.03944668515221904	0.04836319736450075	0.106100656569614	0.09483060002011477	0.09519887578786652	0.08699426279078815	0.12079596520418169	0.11587827996237768	0.15748451544262743	0.04760475242755012	0.09789070817489828	0.04912725309289259	0.062086107280038286	0.057393278483442965	0.11112964111085805	0.08691321512703949	0.07633839726136338	0.11379916102169119	0.1942378990958346	0.0899208650030693	0.14919058159540172	0.09867194465007273	0.08688331428648326	0.07968230854061288	0.08892378831309845	0.061157484303104526	0.08219971360585902	0.09437318515760142	0.08862804614896956	0.11123078439661542	0.08106706957072306	0.10858387485532141	0.14626934897612417	0.13767270670377313	0.12748966144313523
CM183	0.09320997828810292	0.05885387347783413	0.0754099053146268	0.15359283315466266	0.10103134890486865	0.19227124110257027	0.19894436022176598	0.033700424042985996	0.044029255099728375	0.022417909178057593	0.03944668515221904	0.0	0.030490184015915578	0.07711007566973907	0.07041932686705847	0.10342279250932618	0.08611409746197873	0.1061894862496287	0.12040772116155576	0.14177482242450284	0.049727130264853224	0.07862400037917341	0.05188560031426277	0.06473482717942444	0.04951588382771929	0.09345249957187553	0.07062443636365966	0.0702488028866506	0.09622782294062482	0.1853230911493248	0.07054271369912554	0.14170111651426825	0.10931730897420981	0.098582555362813	0.08530592981286435	0.09284625689507142	0.05944217710936919	0.07556641171046885	0.07955725477927399	0.07402166871166241	0.09953216168470505	0.08955594618849343	0.09314992634321641	0.13164001855224558	0.1264044318086816	0.1138207372060203
CM184	0.0842530718231779	0.05548815277741087	0.06607665558202515	0.15679574403619564	0.10869317386687241	0.19122146308296434	0.2003867608933034	0.04018810371372863	0.04737517470708157	0.03802677691613379	0.04836319736450075	0.030490184015915578	0.0	0.08658303463561884	0.08433690946419244	0.11167380285607767	0.09019530645502752	0.10839776474755003	0.1161777400509567	0.13918420710737797	0.04610068987601062	0.07094267180125763	0.048490699692242414	0.06365157746797502	0.04950039481844701	0.08524800250765344	0.06317621252774666	0.05825733777590081	0.08700232947338157	0.17879169880385434	0.05449655139365953	0.14265441848607247	0.10397813375736788	0.08940178023775376	0.07348928557083761	0.0868382944423377	0.05414666177602049	0.07232754822936382	0.06455974419520237	0.05823803608510424	0.08041640771024823	0.0851790084748163	0.08501592100480719	0.12258854502353617	0.11774066804825724	0.1163235790423846
CM198	0.12812393286274393	0.08368056721728281	0.10749435116154112	0.1307120773853048	0.08860766535257886	0.19790905564677974	0.20247233356776415	0.0801198672940101	0.06587615036846721	0.08353722446391838	0.106100656569614	0.07711007566973907	0.08658303463561884	0.0	0.030697483743462154	0.13341928166162892	0.11213951214502814	0.12970024017433607	0.14600758662108884	0.1357612236415765	0.09883742078564445	0.09175061579778049	0.10965547219926722	0.11172847310079623	0.09934164486305955	0.0970868091760805	0.08494143751097002	0.10881935495186781	0.08052541827109595	0.17792674651645324	0.09010570756988741	0.13908129876862058	0.14956676006345135	0.14253063735778326	0.13203813252055596	0.1385852109320858	0.11241325787163947	0.12183310181789112	0.11909564709524818	0.119209130446529	0.12329994359794533	0.12756992399413897	0.11465483730490852	0.12940685169889204	0.14052205726653239	0.1006084776863453
CM199	0.12509677374494563	0.07966515854611067	0.10599450570517101	0.11818686221263316	0.0835650387979219	0.17717080756406992	0.1831854151576338	0.0791615006744169	0.06462871324860667	0.07505501596137688	0.09483060002011477	0.07041932686705847	0.08433690946419244	0.030697483743462154	0.0	0.12615652827817345	0.11713102074241882	0.13498202915536522	0.1521968910295952	0.1404101838733603	0.09783432514254127	0.0981802484181793	0.10637605378250355	0.11279490432990016	0.09959366896711805	0.10369871153001273	0.09158587912763626	0.11305963626674882	0.08378680555242997	0.17488828055629196	0.08926754787761484	0.12166944423847094	0.1512901171204289	0.14356711305129663	0.13169834124672036	0.13981001578126728	0.10916530405616022	0.12178666317278485	0.11937804517754487	0.11824953959263614	0.12301295691771527	0.12701287734521516	0.11722911094248084	0.13290536826073163	0.14446162497509277	0.09296891762124258
CM213	0.1313277515080174	0.12103466910273174	0.1311181657866683	0.11282116469296784	0.09638343270374353	0.20432861274662142	0.2197868844794483	0.1124958060884403	0.11209716139335242	0.10001953082825149	0.09519887578786652	0.10342279250932618	0.11167380285607767	0.13341928166162892	0.12615652827817345	0.0	0.07632235016506417	0.09907288265278154	0.09819912837327799	0.12818906153805495	0.08534935459145923	0.10519734725448629	0.10647814826873904	0.12490230058789208	0.10948624107824945	0.10318022918613948	0.11437007086290986	0.1306390763001284	0.1315539493451575	0.22204112695655367	0.13900604663715038	0.17581764621476575	0.12923769804391516	0.12608351337596255	0.10436559793409812	0.11563795141742782	0.11292604037162488	0.12053566097416071	0.1382729760782515	0.1304034770574246	0.15301479429892553	0.11451241099408041	0.1356371027228286	0.12682667314246124	0.12307122536105386	0.09077593584036579
CM219	0.13847735806556064	0.1156005276104253	0.12261500543935779	0.1466125443862962	0.08535022074364895	0.24984937877255176	0.2585398027735598	0.08293164059664165	0.08447812013713821	0.09032305689453853	0.08699426279078815	0.08611409746197873	0.09019530645502752	0.11213951214502814	0.11713102074241882	0.07632235016506417	0.0	0.06042972029384335	0.04595500774882048	0.09619934629515516	0.07703118781447178	0.06428806543076628	0.09490313643562656	0.10772324147819692	0.09494497688412515	0.06629599330669829	0.07607181953137804	0.0923083042349256	0.1023375679451439	0.21510399200462693	0.11392375887696969	0.19085519574357535	0.13142345010754275	0.11737635974669607	0.09974201915622143	0.11343517342451215	0.1024130151528353	0.11685607059931866	0.12195150311346632	0.12108071011862523	0.1292941406077587	0.09052127643687227	0.10079110967457272	0.10048668809409479	0.09379104110548936	0.09323325236129566
CM222	0.15195439871678865	0.12126633447011297	0.12929644079705133	0.15205972805830356	0.10141031857791703	0.2627913264881977	0.2711884351341871	0.11025165250622139	0.1003709844995373	0.11560937514545284	0.12079596520418169	0.1061894862496287	0.10839776474755003	0.12970024017433607	0.13498202915536522	0.09907288265278154	0.06042972029384335	0.0	0.06712621232273558	0.05219533721675304	0.11190914926120014	0.07902653892403902	0.13373599309253936	0.15177604940625022	0.13692236132211544	0.07606965402079287	0.08969974949917302	0.11256359873259597	0.10849944096700223	0.22951238859379564	0.13712371805777765	0.20356766543741575	0.18021414754069384	0.16521985152805146	0.13700941157724203	0.15903798811169798	0.13511910275431688	0.15591452115517757	0.14347186339694237	0.13732225750065438	0.14152623295873348	0.12575615537411233	0.11345666595309142	0.11742675265829239	0.11356304062161189	0.09478577210168539
CM229	0.1509232615454178	0.13415066676840198	0.12923068667471777	0.15566661505883256	0.1169608037791886	0.28430705167110715	0.2936420890724882	0.10769667857183901	0.10852895369436664	0.12445336207612952	0.11587827996237768	0.12040772116155576	0.1161777400509567	0.14600758662108884	0.1521968910295952	0.09819912837327799	0.04595500774882048	0.06712621232273558	0.0	0.0877848065145966	0.10635342178084918	0.06988679189092718	0.12581195482983454	0.13996185658738874	0.13030762065478702	0.06314741609495858	0.0773824992938986	0.08877736683003416	0.09942409315915983	0.2237782095201073	0.14312010348594173	0.214157936727184	0.162440513692864	0.1462826584311833	0.12306132805436427	0.1454691878025357	0.1344535877352691	0.14963599242080194	0.14383255349147409	0.14232428274082087	0.12906578782569142	0.08755197942127504	0.0910612503559137	0.09432769013405894	0.08349523780567533	0.10914303417483401
CM230	0.17030666679781373	0.13591399367402396	0.14529537056684377	0.13947457200687824	0.1022876642857329	0.2662023021187068	0.275863717293588	0.1412802217087942	0.12326714694526486	0.14809186004986016	0.15748451544262743	0.14177482242450284	0.13918420710737797	0.1357612236415765	0.1404101838733603	0.12818906153805495	0.09619934629515516	0.05219533721675304	0.0877848065145966	0.0	0.1394192086278429	0.10372951523525172	0.1655217328363345	0.18192538966777333	0.16693467028849113	0.09697302025175811	0.11921716124216067	0.14386844362854742	0.11399188779756199	0.23156154624783426	0.1386075225535457	0.2010876234528482	0.2054335566624176	0.1915976193845972	0.1654711667957787	0.18694263157790655	0.16535380716903286	0.18165086521636936	0.1662648922918055	0.16264490625689645	0.14889786543537542	0.14524293416652323	0.13031317301657028	0.11795406640651844	0.12961162406730642	0.09324227546389546
