	CM009	CM021	CM025	CM039	CM086	CM110	CM118	CM176	CM179	CM181	CM182	CM183	CM184	CM198	CM199	CM213	CM219	CM222	CM229	CM230	CM246	CM253	CM257	CM259	CM260	CM261	CM262	CM271	CM293	CM362	CM372	CM383	CM436	CM437	CM438	CM439	CM441	CM443	CM444	CM452	CM469	CM471	CM535	CM538	CM540	CM557
CM182	0.32499750174877584	0.2660887378834816	0.26424003197761564	0.4465624063155791	0.2654891575896872	0.42607674627760567	0.44766163685420207	0.1936644348955731	0.21642350354751674	0.12243929249525333	0.0	0.12783551513940242	0.1449735185370241	0.29589287498750877	0.2761067252922954	0.2590686519436394	0.23466073748376137	0.25214849605276307	0.26753772359348454	0.31018287198960726	0.22656640351753773	0.2578195263315679	0.14397421804736685	0.16051264115119415	0.15718996702308385	0.263565504147097	0.24120615569101628	0.24665234335964825	0.30563605476166683	0.6446237633656441	0.25682022584191067	0.4134855601079245	0.25587089037673627	0.24597781552912962	0.23388627960427702	0.2520985310282802	0.16201159188568	0.19458878784850606	0.22958928749875088	0.2181722794044169	0.31033276706305585	0.2922953932247427	0.33031877685620065	0.4008444089137604	0.38720395722993906	0.2904466873188768
CM183	0.31005795942840014	0.23521035275307284	0.24115619066653343	0.43746877185969824	0.22716598381133207	0.421804736684321	0.4434895573098831	0.16333566503447586	0.1778754871589887	0.09688218247226942	0.12783551513940242	0.0	0.10612571200159888	0.24223043869291497	0.2257419806135705	0.2634405915858899	0.21482462276406517	0.2194713700409713	0.280428699910063	0.29084640751473967	0.20578095333266713	0.21449985010492656	0.13762865993804338	0.14849605276306585	0.12466273608474068	0.2208953732387329	0.199860097931448	0.23416108723893275	0.2756070750474668	0.6400019986009793	0.2149495353252723	0.39252523233736386	0.2676376536424503	0.248376136704307	0.24722694114120117	0.24647746577395824	0.16348556010792445	0.1801239132607175	0.19071649845108424	0.1905166383531528	0.2769061656840212	0.3042370340761467	0.29599280503647446	0.3760617567702608	0.3770110922354352	0.2663635455181373
CM184	0.30088937743579497	0.23268711901668832	0.2504996502448286	0.436644348955731	0.22916458479064655	0.4256770260817428	0.4567302887978415	0.17370340761466974	0.17522734086139702	0.13802838013390625	0.1449735185370241	0.10612571200159888	0.0	0.25527131008294196	0.24377935445188367	0.26483961227141	0.23878285200359747	0.225017487758569	0.2698361147196962	0.27942939942040573	0.19313980213850304	0.21464974517837515	0.13168282202458279	0.15993804336964126	0.13113320675527132	0.20515639052663137	0.19408913760367744	0.22379334465873887	0.2524732687119017	0.6372789047666634	0.19756170680523633	0.3818327170980314	0.27188468072349353	0.24542820025981812	0.23031378035375238	0.25769461377036074	0.1695812930948336	0.19678724892575197	0.16635854901568903	0.1703807334865594	0.2519986009793145	0.2963425602078545	0.28832317377835515	0.35207854501848707	0.36264614769661235	0.2579944039172579
CM198	0.36784251024283005	0.30331268112321375	0.3315679024682722	0.44211551913660435	0.27300889377435794	0.46367542720095933	0.4844358948735885	0.2447786549415409	0.2354851603877286	0.2544219046667333	0.29589287498750877	0.24223043869291497	0.25527131008294196	0.0	0.11382032577195964	0.37591186169681223	0.2957679624263016	0.3006145698011392	0.35030478664934545	0.3252473268711902	0.32287398820825425	0.2665134405915859	0.2840511641850704	0.2787049065654042	0.258868791845708	0.2629409413410613	0.2607174977515739	0.29806635355251326	0.27485759968022383	0.6485210352753072	0.28260217847506747	0.3984710702508244	0.3670180873388628	0.36262116518437093	0.36909163585490157	0.3708154291995603	0.30453682422304384	0.31940141900669533	0.29774158089337466	0.32264914559808133	0.3423103827320875	0.3799340461676826	0.3479314479864095	0.41500949335465176	0.4358449085640052	0.31393024882582193
CM199	0.3710652543219746	0.3040121914659738	0.3335914859598281	0.4297991406015789	0.26396522434295994	0.4270760467672629	0.44996002798041373	0.24268012391326071	0.22878984710702507	0.23730888378135306	0.2761067252922954	0.2257419806135705	0.24377935445188367	0.11382032577195964	0.0	0.3636454481862696	0.29534325971819725	0.29584290996302587	0.3466323573498551	0.32015089437393823	0.3151044269011692	0.2687868492055561	0.27790546617367845	0.28437593684420903	0.2560707504746677	0.2666633356650345	0.26116718297191965	0.30958329169581295	0.27678125312281404	0.6391525931847707	0.2816028779854102	0.3722644149095633	0.37496252623163784	0.3695912860997302	0.3650694513840312	0.37503747376836216	0.297067053062856	0.317702608174278	0.2969671230138903	0.3187518736884181	0.34393424602778055	0.379609273508544	0.3551763765364245	0.41605875886879184	0.4364195063455581	0.30663535525132407
CM213	0.35392725092435295	0.3476816228639952	0.3421105226341561	0.329294493854302	0.27960427700609575	0.40581592884980516	0.44686219646247627	0.2951184171080244	0.30518636954132106	0.2628160287798541	0.2590686519436394	0.2634405915858899	0.26483961227141	0.37591186169681223	0.3636454481862696	0.0	0.2268661936644349	0.2271160187868492	0.2665883881283102	0.2735585090436694	0.18606975117417807	0.31143199760167883	0.255621065254322	0.28552513240731486	0.2729589287498751	0.3227990406715299	0.3177525731987609	0.3633706405516139	0.37029079644249024	0.6908663935245328	0.3281702808034376	0.4386679324472869	0.2820275806935145	0.2775057459778155	0.2527480763465574	0.2765564105126411	0.2821524932547217	0.2899720195862896	0.3002897971420006	0.29284500849405415	0.349755171380034	0.28759868092335367	0.33049365444189066	0.3371140201858699	0.33346657339862096	0.2829769161586889
CM219	0.33466573398620963	0.30491156190666535	0.3040121914659738	0.39937044069151595	0.2450034975517138	0.5039222544219046	0.5263065853902268	0.2257419806135705	0.24520335764964524	0.20817927450784451	0.23466073748376137	0.21482462276406517	0.23878285200359747	0.2957679624263016	0.29534325971819725	0.2268661936644349	0.0	0.14072649145598082	0.1473968222244429	0.21579894074148095	0.2028579994004197	0.20588088338163285	0.20960327770560608	0.2117267912461277	0.19693714399920056	0.2327370840411712	0.22029579294493853	0.24402917957429798	0.2762816028779854	0.6648845807934446	0.27210952333366645	0.4354451883681423	0.25149895073448586	0.2435545118417108	0.2189717197961427	0.23538523033876288	0.23513540521634857	0.24567802538223243	0.26566403517537723	0.2670880383731388	0.28187768562006593	0.20910362746077746	0.22871489957030078	0.28460077945438195	0.26943639452383333	0.276256620365744
CM222	0.3463575497151994	0.2812281403017887	0.2934445887878485	0.3835065454182073	0.26211651843709405	0.49415409213550515	0.5173128809833116	0.24642750074947536	0.24387928450084942	0.22166983111821725	0.25214849605276307	0.2194713700409713	0.225017487758569	0.3006145698011392	0.29584290996302587	0.2271160187868492	0.14072649145598082	0.0	0.167457779554312	0.15696512441291097	0.2258918756870191	0.18686919156590387	0.24512841011292097	0.27333366643349655	0.24787648645947838	0.20685520135904867	0.2052563205755971	0.25504646747276905	0.2543719396422504	0.6575647047067054	0.2891725791945638	0.41153692415309284	0.3246227640651544	0.3124812631158189	0.27463275707005097	0.31008294194064157	0.25462176476466475	0.2938443089837114	0.2626661337064055	0.26214150094933547	0.27258419106625364	0.2560457679624263	0.23038872789047668	0.2902218447087039	0.2904466873188768	0.27363345658039373
CM229	0.35917357849505344	0.3296192665134406	0.3198011392025582	0.41073748376136704	0.3079344458878785	0.5593084840611572	0.5839662236434496	0.2665384231038273	0.27188468072349353	0.26818726891176176	0.26753772359348454	0.280428699910063	0.2698361147196962	0.35030478664934545	0.3466323573498551	0.2665883881283102	0.1473968222244429	0.167457779554312	0.0	0.17452783051863696	0.2410562606175677	0.20208354152093536	0.26488957729589285	0.2785550114919556	0.27258419106625364	0.2144748675926851	0.20248326171679823	0.21769761167182972	0.2480513640451684	0.656790246827221	0.3182022584191066	0.4578295193364645	0.3237483761367043	0.3111821724792645	0.2745827920455681	0.3105326271609873	0.2846757269911062	0.3142300389727191	0.30805935844908566	0.3007144998501049	0.2857749575297292	0.20413210752473268	0.22621664834615768	0.26616368542020585	0.24480363745378236	0.30596082742080544
CM230	0.3814329969021685	0.3255221345058459	0.3242230438692915	0.3630708504047167	0.2645897871489957	0.4921804736684321	0.5129659238533026	0.29396922154491856	0.2683121814729689	0.28335165384231037	0.31018287198960726	0.29084640751473967	0.27942939942040573	0.3252473268711902	0.32015089437393823	0.2735585090436694	0.21579894074148095	0.15696512441291097	0.17452783051863696	0.0	0.25851903667432796	0.23378634955531127	0.30146397521734786	0.33561506945138403	0.3152043569501349	0.24510342760067952	0.2562706105725992	0.2988408114319976	0.254521834715699	0.6505196362546217	0.2993904267013091	0.3966223643449585	0.3734885580093934	0.35732487258918755	0.32337363845308287	0.35455181373038874	0.3178025382232437	0.34958029379434397	0.3186019786149695	0.31725292295393226	0.3027630658539023	0.29536824223043867	0.27895473168781854	0.30203857299890075	0.31145698011392026	0.2579944039172579
