	CM009	CM021	CM086	CM110	CM176	CM179	CM181	CM184	CM198	CM199	CM222	CM246	CM257	CM259	CM260	CM261	CM262	CM293	CM362	CM372	CM436	CM437	CM438	CM444	CM452	CM469	CM471	CM538	CM557
CM222	0.3524538048877409	0.28124379097953506	0.26073912179614545	0.4901450427180608	0.2460758990661633	0.2373733359825154	0.2165308960858335	0.22410093383667792	0.30435128154182395	0.29688058811841844	0.0	0.22513411484204252	0.24061196105702365	0.2687065368567455	0.24442678323067754	0.2069938406516988	0.20665606993840652	0.25489767534273794	0.6568249552950527	0.2852175640770912	0.326902443870455	0.3076892509437711	0.27438903238625073	0.26073912179614545	0.2639578780051659	0.2719848996622293	0.2564673157162726	0.29060202662427975	0.27200476852771704
CM246	0.3016491158354858	0.28611166302404134	0.25416252731969	0.4222729982118021	0.21271607391217962	0.22569044307570038	0.19175442082257102	0.19723822769719848	0.32036558712497515	0.3150208623087622	0.22513411484204252	0.0	0.18251539837075303	0.20524538048877408	0.19461553745281143	0.30117226306377903	0.27107093184979136	0.317842241208027	0.6659646334194318	0.23427379296642162	0.24738724418835684	0.22425988476058017	0.19948340949731772	0.23602225312934633	0.23494933439300617	0.30105304987085235	0.259149612557123	0.34369163520762963	0.2879793363798927
CM257	0.27085237432942577	0.26226902443870453	0.2396185177826346	0.4103516789191337	0.1885157957480628	0.20437115040731174	0.1344128750248361	0.1302801510033777	0.28178025034770515	0.2770514603616134	0.24061196105702365	0.18251539837075303	0.0	0.1017484601629247	0.09562884959268826	0.2579177428968806	0.2297635605006954	0.3110868269421816	0.6617325650705345	0.19493343930061593	0.21730578183985694	0.19632425988476057	0.18948937015696404	0.18581363004172463	0.1785416252731969	0.2792767732962448	0.27520365587124973	0.37170673554540035	0.27816411682892905
CM259	0.2900854361215975	0.27665408305185774	0.25662626664017485	0.44945360619908603	0.19117822372342538	0.21589509239022453	0.13457182594873832	0.15773892310749058	0.27613749254917547	0.28189946354063183	0.2687065368567455	0.20524538048877408	0.1017484601629247	0.0	0.07564077091198093	0.2823564474468508	0.2554738724418836	0.3294655275183787	0.6747466719650308	0.220107291873634	0.1940393403536658	0.19036360023842638	0.208424398966819	0.18944963242598847	0.18869461553745281	0.29318497913769126	0.2922511424597655	0.4035763957878005	0.3031988873435327
CM260	0.2733757202463739	0.2578382674349295	0.23566461355056625	0.4323663818795947	0.17077289886747465	0.1864494337373336	0.12183588317107093	0.13266441486191138	0.25722233260480826	0.2566063977746871	0.24442678323067754	0.19461553745281143	0.09562884959268826	0.07564077091198093	0.0	0.25918935028809853	0.2310152990264256	0.3042121994834095	0.6651897476654083	0.20413272402145838	0.20532485595072522	0.1983508841645142	0.19970196701768328	0.17836280548380687	0.17355454003576395	0.2638982714087026	0.2789390025829525	0.37818398569441686	0.28052851182197497
CM261	0.3450029803298232	0.26443473077687263	0.2775879197297834	0.5293264454599642	0.2357440890125174	0.21051062984303595	0.2343930061593483	0.20172859129743692	0.2669183389628452	0.26987879992052455	0.2069938406516988	0.30117226306377903	0.2579177428968806	0.2823564474468508	0.25918935028809853	0.0	0.11035167891913372	0.1848003179018478	0.6309358235644744	0.2707331611364991	0.37814424796344126	0.3465130141068945	0.3207033578382674	0.22517385257301809	0.23955891118617126	0.23177031591496125	0.2994436717663421	0.28937015696403734	0.2877607788595271
CM262	0.32950526524935425	0.27162726008344923	0.29926485197695213	0.5229088019074111	0.225273196900457	0.21637194516193126	0.20854361215974568	0.19145638784025432	0.2623484999006557	0.2614742698191933	0.20665606993840652	0.27107093184979136	0.2297635605006954	0.2554738724418836	0.2310152990264256	0.11035167891913372	0.0	0.1712497516391814	0.6356248758195907	0.25608980727200475	0.3439101927279952	0.31289489370156964	0.289767534273793	0.21615338764156566	0.22797536260679516	0.20743095569242997	0.26149413868468113	0.27923703556526924	0.3019471488178025
CM293	0.3471090800715279	0.2591297436916352	0.264673157162726	0.5091992847208424	0.2613153188952911	0.23407510431154382	0.2762368368766143	0.24859924498311148	0.27633618120405323	0.27631631233856546	0.25489767534273794	0.317842241208027	0.3110868269421816	0.3294655275183787	0.3042121994834095	0.1848003179018478	0.1712497516391814	0.0	0.624458573415458	0.222372342539241	0.38923107490562286	0.35732167693224715	0.3262865090403338	0.2652890919928472	0.2695211603417445	0.20323862507450824	0.2949731770315915	0.30407311742499504	0.23949930458970792
CM362	0.6754222133916153	0.6564871845817604	0.65416252731969	0.7083051857738923	0.6379296642161733	0.6332207430955692	0.6384263858533678	0.6321875620902047	0.64619511225909	0.6360222531293463	0.6568249552950527	0.6659646334194318	0.6617325650705345	0.6747466719650308	0.6651897476654083	0.6309358235644744	0.6356248758195907	0.624458573415458	0.0	0.6531492151798133	0.709239022451818	0.6936220941784225	0.6816212994238029	0.6743294257897874	0.6734154579773495	0.6641764355255315	0.6715875223524737	0.6939002582952514	0.6482614742698192
CM372	0.2826544804291675	0.22493542618716472	0.23556526922312737	0.43856546791178225	0.23129346314325452	0.2227895887144844	0.22374329425789788	0.19276773296244784	0.28422412080270215	0.2799721835883171	0.2852175640770912	0.23427379296642162	0.19493343930061593	0.220107291873634	0.20413272402145838	0.2707331611364991	0.25608980727200475	0.222372342539241	0.6531492151798133	0.0	0.28567454798331016	0.24593681700774886	0.21937214385058612	0.18261474269819195	0.19833101529902641	0.2644545996423604	0.32630637790582157	0.3824359229088019	0.21593483012120007
