	CM009	CM021	CM086	CM110	CM176	CM179	CM181	CM184	CM198	CM199	CM222	CM246	CM257	CM259	CM260	CM261	CM262	CM293	CM362	CM372	CM436	CM437	CM438	CM444	CM452	CM469	CM471	CM538	CM557
CM222	0.6077348066298343	0.5814432989690722	0.5523465703971119	0.6008146639511202	0.5227272727272727	0.5919629057187017	0.47619047619047616	0.4979253112033195	0.5562770562770563	0.5719844357976653	0.0	0.47391304347826085	0.463768115942029	0.4965197215777262	0.5052192066805845	0.4939467312348668	0.48009367681498827	0.497787610619469	0.7375690607734806	0.550351288056206	0.484593837535014	0.4816753926701571	0.4659949622166247	0.4804597701149425	0.5077262693156733	0.47494033412887826	0.4576271186440678	0.48866498740554154	0.5834797891036907
CM246	0.5391014975041597	0.5638297872340425	0.5072697899838449	0.5681415929203539	0.46075085324232085	0.4831130690161527	0.4791666666666667	0.43911439114391143	0.5628415300546448	0.561344537815126	0.47391304347826085	0.0	0.44672131147540983	0.46613545816733065	0.4188679245283019	0.546875	0.5480225988700564	0.5489130434782609	0.8012422360248447	0.5442043222003929	0.5741935483870968	0.5127118644067796	0.45454545454545453	0.49423076923076925	0.49433962264150944	0.5393474088291746	0.5478260869565217	0.5414141414141415	0.5104333868378812
CM257	0.5779334500875657	0.546875	0.49473684210526314	0.5431372549019607	0.4575645756457565	0.5191424196018377	0.42280285035629456	0.3917525773195876	0.49375	0.5066162570888468	0.463768115942029	0.44672131147540983	0.0	0.3474178403755869	0.39166666666666666	0.47297297297297297	0.4838709677419355	0.5474308300395256	0.7608695652173914	0.4762979683972912	0.5331695331695332	0.4821002386634845	0.46774193548387094	0.42417582417582417	0.46540880503144655	0.527542372881356	0.5700712589073634	0.589247311827957	0.5189003436426117
CM259	0.5543859649122806	0.5377176015473888	0.4843205574912892	0.5368217054263565	0.45255474452554745	0.4868624420401855	0.3592233009708738	0.3465553235908142	0.49075975359342916	0.4781783681214421	0.4965197215777262	0.46613545816733065	0.3474178403755869	0.0	0.3247863247863248	0.42105263157894735	0.4344978165938865	0.506	0.75	0.4457013574660634	0.5182481751824818	0.4752941176470588	0.4752252252252252	0.39072847682119205	0.43037974683544306	0.48283261802575106	0.5754060324825986	0.5787234042553191	0.5034246575342466
CM260	0.5612903225806452	0.5415929203539823	0.43926788685524126	0.5117540687160941	0.4097222222222222	0.4442793462109955	0.39655172413793105	0.34615384615384615	0.4849056603773585	0.4547069271758437	0.5052192066805845	0.4188679245283019	0.39166666666666666	0.3247863247863248	0.0	0.4530612244897959	0.42685370741482964	0.48794063079777367	0.777319587628866	0.48697394789579157	0.565677966101695	0.5114345114345115	0.5070140280561122	0.39959839357429716	0.43545279383429675	0.49221789883268485	0.587991718426501	0.5791505791505791	0.5
CM261	0.5775401069518716	0.5487077534791253	0.5498281786941581	0.6114285714285714	0.5	0.5450381679389313	0.45605700712589076	0.4493927125506073	0.49469214437367304	0.510556621880998	0.4939467312348668	0.546875	0.47297297297297297	0.42105263157894735	0.4530612244897959	0.0	0.38927738927738925	0.4594017094017094	0.7237851662404092	0.4804597701149425	0.5675675675675675	0.5534883720930233	0.546875	0.45154185022026433	0.49159663865546216	0.44874715261959	0.5588235294117647	0.5342465753424658	0.5675675675675675
CM262	0.5921501706484642	0.5662878787878788	0.5361344537815126	0.6153846153846154	0.48663101604278075	0.5351270553064275	0.4820627802690583	0.451171875	0.5101214574898786	0.5102040816326531	0.48009367681498827	0.5480225988700564	0.4838709677419355	0.4344978165938865	0.42685370741482964	0.38927738927738925	0.0	0.4609053497942387	0.7476190476190476	0.5043478260869565	0.5747663551401869	0.5448430493273543	0.5543710021321961	0.46638655462184875	0.494949494949495	0.45751633986928103	0.5563380281690141	0.5456521739130434	0.5655737704918032
CM293	0.5483870967741935	0.5038022813688213	0.5058043117744611	0.6401384083044983	0.45789473684210524	0.4880239520958084	0.5178197064989518	0.47026022304832715	0.5464895635673624	0.5487804878048781	0.497787610619469	0.5489130434782609	0.5474308300395256	0.506	0.48794063079777367	0.4594017094017094	0.4609053497942387	0.0	0.7420814479638009	0.4690831556503198	0.5682326621923938	0.5366379310344828	0.5341614906832298	0.45841784989858014	0.48336594911937375	0.4060475161987041	0.5407239819004525	0.5407098121085595	0.49667774086378735
CM362	0.8123827392120075	0.7978723404255319	0.8087719298245614	0.8200836820083682	0.7878228782287823	0.8256333830104322	0.7369791666666666	0.7608247422680412	0.7664399092970522	0.7876984126984127	0.7375690607734806	0.8012422360248447	0.7608695652173914	0.75	0.777319587628866	0.7237851662404092	0.7476190476190476	0.7420814479638009	0.0	0.731457800511509	0.7333333333333333	0.7305555555555555	0.766497461928934	0.7546296296296297	0.7600896860986547	0.7445255474452555	0.7335329341317365	0.7513089005235603	0.8059440559440559
CM372	0.546617915904936	0.494824016563147	0.4846846846846847	0.6118546845124283	0.48333333333333334	0.5362095531587057	0.44844124700239807	0.4709418837675351	0.5413223140495868	0.5415094339622641	0.550351288056206	0.5442043222003929	0.4762979683972912	0.4457013574660634	0.48697394789579157	0.4804597701149425	0.5043478260869565	0.4690831556503198	0.731457800511509	0.0	0.5279187817258884	0.5084337349397591	0.4716981132075472	0.4375	0.4388646288209607	0.4764044943820225	0.5696821515892421	0.5894039735099338	0.4719710669077758
