	CM009	CM021	CM086	CM110	CM176	CM179	CM181	CM184	CM198	CM199	CM222	CM246	CM257	CM259	CM260	CM261	CM262	CM293	CM362	CM372	CM436	CM437	CM438	CM444	CM452	CM469	CM471	CM538	CM557
CM222	0.44705609850458167	0.4110175717765053	0.44727779859098526	0.5420475751700747	0.362211768901659	0.47686427657477476	0.3641687209831591	0.35753430739404074	0.40627813419875974	0.4189167141063781	0.0	0.3547208627680689	0.3335210548819102	0.34043307930156746	0.355054749898522	0.3425510531102269	0.35607880104319145	0.38846707602084257	0.590642109771047	0.4251708953387065	0.35180520360027806	0.3279170512993738	0.35394628777267984	0.32893656302297025	0.3837088349338931	0.3681516972022114	0.3100070879570611	0.3765405569195106	0.49089832072497863
CM246	0.3900310184364141	0.40700834486854526	0.39987035783554914	0.4961043469778913	0.2809147437560794	0.3859036161333747	0.33909943270536336	0.3227699672473026	0.4079247836974713	0.3785284554925095	0.3547208627680689	0.0	0.3170546557872105	0.3466271289666968	0.2891876281197052	0.4065797104239808	0.3825744158577875	0.443111621938862	0.6741257185252132	0.42058156602792646	0.4314641895626856	0.364420197126229	0.3470001682094877	0.3432206891743703	0.3649192892199643	0.42213791669839	0.4136869915195151	0.4587047280123791	0.3972114832560285
CM257	0.41170831129911967	0.38098154689178987	0.4011230496112361	0.5181208712334192	0.34792335390574297	0.4577444562288915	0.35549607163495395	0.32088105487058877	0.3804652288825889	0.4097314056192771	0.3335210548819102	0.3170546557872105	0.0	0.2832492872898555	0.3186767069285984	0.3726915689198082	0.38601168634327454	0.44868012815160685	0.6220017084734871	0.36076507315174927	0.38253505218863687	0.330155454924523	0.3667743881206511	0.3018678898242966	0.3612960605677423	0.3963258049664676	0.4090418065467284	0.47969192804464006	0.4437476220481881
CM259	0.40682085041945476	0.39847610859523774	0.3824123027340989	0.5101617191159058	0.3399883899826791	0.4105240500655903	0.2890156323057419	0.25824151295157133	0.35742960841927535	0.3582229717302828	0.34043307930156746	0.3466271289666968	0.2832492872898555	0.0	0.2592941773443927	0.310405177761792	0.31575777900089025	0.4116631931149854	0.6228143994830311	0.3555754333838272	0.376808563954594	0.32740461812707733	0.3472899771705406	0.27369754131256147	0.33261146406333547	0.34262653054057285	0.3815801979902568	0.432959986999313	0.4262301434179501
CM260	0.4032441670782692	0.3753481354383675	0.3330576986500912	0.44647970030611966	0.2954565583150708	0.3388441533361257	0.2748391403142641	0.22747952496823262	0.36411875415714484	0.33780424105091483	0.355054749898522	0.2891876281197052	0.3186767069285984	0.2592941773443927	0.0	0.354293309690679	0.30814502812737193	0.38488969325974726	0.6695886627978134	0.4181823613261822	0.42890971036245606	0.3682424404746007	0.3752085341579226	0.30845195758011046	0.33685089934169904	0.37824007931258713	0.4292323405938287	0.4800274048941112	0.40496661869002776
CM261	0.4635152752600488	0.4122905529814759	0.4634424158546394	0.5672462267611195	0.3768879015329844	0.47524198212215124	0.3665694694622268	0.36494149444115365	0.3931759436810028	0.4192916343062131	0.3425510531102269	0.4065797104239808	0.3726915689198082	0.310405177761792	0.354293309690679	0.0	0.30394555455252203	0.4063711403272298	0.5880604879103494	0.40262569514171903	0.4347368247689146	0.39412590289849375	0.41947187848683953	0.36073907269347827	0.3992744427608867	0.3769885742226222	0.383277580757542	0.3881482757102686	0.4966753419750542
CM262	0.4743916138683061	0.43914548678477605	0.4379388897468065	0.5364645964301714	0.34820898618608775	0.4489732415457224	0.350492262077671	0.3372264506050774	0.396751027134827	0.4103362435488745	0.35607880104319145	0.3825744158577875	0.38601168634327454	0.31575777900089025	0.30814502812737193	0.30394555455252203	0.0	0.40712577704889746	0.6248709554065661	0.4324600890226951	0.44477305356190916	0.38670285267945304	0.4260913616541792	0.35894869084853476	0.37156216061342556	0.3956044397906306	0.3812886848897378	0.4343779359772335	0.465691724935452
CM293	0.45039765866566	0.40218019860277376	0.4514050774882555	0.536599216123773	0.39302377123404375	0.43479375731141623	0.41858557494540444	0.3960998837710414	0.45891437594827206	0.45880847021741233	0.38846707602084257	0.443111621938862	0.44868012815160685	0.4116631931149854	0.38488969325974726	0.4063711403272298	0.40712577704889746	0.0	0.636503947537563	0.4231212019214763	0.481915046064748	0.44176814245829454	0.46087208644038585	0.37733488126992565	0.436343930658294	0.3827869528103168	0.4437487476323136	0.4668496900442213	0.4389368457254047
CM362	0.686831164717023	0.6694745065767147	0.7073870968030833	0.7523130614996486	0.6711592208347641	0.7352866820758533	0.6350220795758904	0.6495813370459375	0.6399973597835384	0.6879210508410335	0.590642109771047	0.6741257185252132	0.6220017084734871	0.6228143994830311	0.6695886627978134	0.5880604879103494	0.6248709554065661	0.636503947537563	0.0	0.5911299937617888	0.6052826497962476	0.5990225778339147	0.6546771083145619	0.6187683059876514	0.6566913242359617	0.6011537544385266	0.5830121413539819	0.5837885589349936	0.7239960640168662
CM372	0.42659151663484046	0.40863424877340326	0.43047084846188943	0.567425500377962	0.4085696862613644	0.4782392923329839	0.39200086460295724	0.4096407552595121	0.44014616136313417	0.4397241731928597	0.4251708953387065	0.42058156602792646	0.36076507315174927	0.3555754333838272	0.4181823613261822	0.40262569514171903	0.4324600890226951	0.4231212019214763	0.5911299937617888	0.0	0.419304807602352	0.38981949440283475	0.3943427640539018	0.344468039562585	0.3950886202971407	0.38003331742663454	0.4406161939022696	0.4246893551336861	0.4479290044260832
